"concept_id"	"concept_name"	"domain_id"	"vocabulary_id"	"concept_class_id"	"standard_concept"	"concept_code"	"valid_start_date"	"valid_end_date"	"invalid_reason"
-7000128	Mountain grape[Berberis aquifolium]	NaPDI research	NAPDI	Oregon-grape	""	"4cd6c974-ca6d-4a0f-8b71-3ce04c118cf3"	2000-01-01	2099-02-22	""
-7000129	Mountain-grape[Berberis aquifolium]	NaPDI research	NAPDI	Oregon-grape	""	"4cd6c974-ca6d-4a0f-8b71-3ce04c118cf3"	2000-01-01	2099-02-22	""
-7000130	Oregon grape[Berberis aquifolium]	NaPDI research	NAPDI	Oregon-grape	""	"4cd6c974-ca6d-4a0f-8b71-3ce04c118cf3"	2000-01-01	2099-02-22	""
-7000131	Oregon-grape[Berberis aquifolium]	NaPDI research	NAPDI	Oregon-grape	""	"4cd6c974-ca6d-4a0f-8b71-3ce04c118cf3"	2000-01-01	2099-02-22	""
-7000132	Indian barberry[Berberis aristata]	NaPDI research	NAPDI	Tree-turmeric	""	"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	2000-01-01	2099-02-22	""
-7000133	Tree-turmeric[Berberis aristata]	NaPDI research	NAPDI	Tree-turmeric	""	"6d1d7cd6-ff81-41d8-ad19-0d06fed4ed9b"	2000-01-01	2099-02-22	""
-7000134	Berberislycium[Berberis lycium]	NaPDI research	NAPDI	Berberislycium	""	b39ddc3a-46af-4e6c-9ece-5e403eb9ff02	2000-01-01	2099-02-22	""
-7000135	Common barberry[Berberis vulgaris]	NaPDI research	NAPDI	piprage	""	"3d6ad284-1158-45aa-a64e-9ad30d28ef7f"	2000-01-01	2099-02-22	""
-7000136	European barberry[Berberis vulgaris]	NaPDI research	NAPDI	piprage	""	"3d6ad284-1158-45aa-a64e-9ad30d28ef7f"	2000-01-01	2099-02-22	""
-7000137	Jaundice-berry[Berberis vulgaris]	NaPDI research	NAPDI	piprage	""	"3d6ad284-1158-45aa-a64e-9ad30d28ef7f"	2000-01-01	2099-02-22	""
-7000138	piprage[Berberis vulgaris]	NaPDI research	NAPDI	piprage	""	"3d6ad284-1158-45aa-a64e-9ad30d28ef7f"	2000-01-01	2099-02-22	""
-7000139	Beet[Beta vulgaris]	NaPDI research	NAPDI	Beet root	""	e646c8d2-e269-411a-9407-f9db7d1d2f39	2000-01-01	2099-02-22	""
-7000140	Beet root[Beta vulgaris]	NaPDI research	NAPDI	Beet root	""	e646c8d2-e269-411a-9407-f9db7d1d2f39	2000-01-01	2099-02-22	""
-7000141	Field beet[Beta vulgaris]	NaPDI research	NAPDI	Beet root	""	e646c8d2-e269-411a-9407-f9db7d1d2f39	2000-01-01	2099-02-22	""
-7000142	Fodder beet[Beta vulgaris]	NaPDI research	NAPDI	Beet root	""	e646c8d2-e269-411a-9407-f9db7d1d2f39	2000-01-01	2099-02-22	""
-7000143	Foliage beet[Beta vulgaris]	NaPDI research	NAPDI	Beet root	""	e646c8d2-e269-411a-9407-f9db7d1d2f39	2000-01-01	2099-02-22	""
-7000144	Garden beet[Beta vulgaris]	NaPDI research	NAPDI	Beet root	""	e646c8d2-e269-411a-9407-f9db7d1d2f39	2000-01-01	2099-02-22	""
-7000145	Mangel[Beta vulgaris]	NaPDI research	NAPDI	Beet root	""	e646c8d2-e269-411a-9407-f9db7d1d2f39	2000-01-01	2099-02-22	""
-7000146	Mangel-wurzel[Beta vulgaris]	NaPDI research	NAPDI	Beet root	""	e646c8d2-e269-411a-9407-f9db7d1d2f39	2000-01-01	2099-02-22	""
-7000147	Mangold[Beta vulgaris]	NaPDI research	NAPDI	Beet root	""	e646c8d2-e269-411a-9407-f9db7d1d2f39	2000-01-01	2099-02-22	""
-7000148	Red beet[Beta vulgaris]	NaPDI research	NAPDI	Beet root	""	e646c8d2-e269-411a-9407-f9db7d1d2f39	2000-01-01	2099-02-22	""
-7000149	Sicilian broad-rib beet[Beta vulgaris]	NaPDI research	NAPDI	Beet root	""	e646c8d2-e269-411a-9407-f9db7d1d2f39	2000-01-01	2099-02-22	""
-7000150	Spinach beet[Beta vulgaris]	NaPDI research	NAPDI	Beet root	""	e646c8d2-e269-411a-9407-f9db7d1d2f39	2000-01-01	2099-02-22	""
-7000151	Spinach chard[Beta vulgaris]	NaPDI research	NAPDI	Beet root	""	e646c8d2-e269-411a-9407-f9db7d1d2f39	2000-01-01	2099-02-22	""
